mag,phs,freq
-0.00491309857903981,-3.0426165582595,0.00628318530717959
-0.584951431460145,-32.9272178320373,0.0691150383789754
-2.02936231476512,-60.1861820962146,0.131946891450771
-4.05917428699332,-83.1322953409788,0.194778744522567
-6.3409048051343,-101.455076762375,0.257610597594363
-8.6354564220807,-115.85078694398,0.320442450666159
-10.8228912491722,-127.26330260862,0.383274303737955
-12.8597703795089,-136.498176515758,0.446106156809751
-14.7398597611713,-144.150090545267,0.508938009881546
-16.4722170503919,-150.638428330404,0.571769862953342
-18.0709586186633,-156.257107737116,0.634601716025138
-19.5508975034234,-161.214185396422,0.697433569096934
-20.9258498497109,-165.659358140228,0.76026542216873
-22.2080988920618,-169.702309005294,0.823097275240526
-23.408339653194,-173.424870995082,0.885929128312322
-24.5358073360043,-176.889156057323,0.948760981384117
-25.5984614270536,-180.143063328144,1.01159283445591
-26.6031723992448,-183.224071974015,1.07442468752771
-27.555890921613,-186.16189634597,1.1372565405995
-28.4617938219939,-188.980374909448,1.2000883936713
-29.3254070115473,-191.69883481372,1.2629202467431
-30.1507078025418,-194.333091911743,1.32575209981489
-30.9412096349559,-196.89619346388,1.38858395288669
-31.7000321307073,-199.398976594516,1.45141580595848
-32.4299590495933,-201.850493042772,1.51424765903028
-33.133486319072,-204.258335673977,1.57707951210208
-33.8128619297674,-206.628891985944,1.63991136517387
-34.4701191579031,-208.967542801484,1.70274321824567
-35.1071043000623,-211.278819427134,1.76557507131746
-35.7254998807737,-213.566529089203,1.82840692438926
-36.3268441123518,-215.833855978239,1.89123877746106
-36.9125472416413,-218.083443438976,1.95407063053285
-37.4839053029514,-220.317461529676,2.01690248360465
-38.0421117046452,-222.537663202312,2.07973433667644
-38.5882670037157,-224.745431626156,2.14256618974824
-39.1233871642825,-226.941820623953,2.20539804282003
-39.6484105491352,-229.127589764212,2.26822989589183
-40.16420385567,-231.303235321032,2.33106174896363
-40.6715671768098,-233.469018050007,2.39389360203542
-41.1712383421416,-235.624988517731,2.45672545510722
-41.6638966732709,-237.771010550768,2.51955730817901
-42.1501662692789,-239.906783228784,2.58238916125081
-42.6306189223851,-242.03186172972,2.64522101432261
-43.1057767498816,-244.145677237852,2.7080528673944
-43.5761146156777,-246.247556045504,2.7708847204662
-44.0420624030802,-248.336737913808,2.83371657353799
-44.5040071895419,-250.412393705807,2.89654842660979
-44.9622953639492,-252.473642265205,2.95938027968159
-45.4172347175601,-254.51956648526,3.02221213275338
-45.8690965309659,-256.549228493733,3.08504398582518
-46.3181176715006,-258.561683870474,3.14787583889697
-46.764502708421,-260.555994813151,3.21070769196877
-47.2084260470063,-262.531242172511,3.27353954504056
-47.6500340775312,-264.48653629023,3.33637139811236
-48.0894473308873,-266.42102658847,3.39920325118416
-48.5267626294669,-268.333909879323,3.46203510425595
-48.9620552197591,-270.224437383142,3.52486695732775
-49.3953808718749,-272.091920466007,3.58769881039954
-49.826777930842,-273.935735127231,3.65053066347134
-50.2562693048713,-275.755325286928,3.71336251654314
-50.6838643767856,-277.550204940477,3.77619436961493
-51.1095608262708,-279.319959260834,3.83902622268673
-51.5333463524456,-281.064244740606,3.90185807575852
-51.955200288302,-282.782788473612,3.96468992883032
-52.3750951007409,-284.475386680324,4.02752178190211
-52.7929977721082,-286.141902583283,4.09035363497391
-53.2088710612366,-287.782263737614,4.15318548804571
-53.6226746439573,-289.396458918536,4.2160173411175
-54.0343661348029,-290.984534662591,4.2788491941893
-54.4439019931571,-292.546591552716,4.34168104726109
-54.8512383183889,-294.082780329552,4.40451290033289
-55.2563315395418,-295.593297903038,4.46734475340469
-55.6591390059383,-297.078383329575,4.53017660647648
-56.0596194856119,-298.538313811286,4.59300845954828
-56.4577335788278,-299.973400765277,4.65584031262007
-56.8534440541105,-301.383986002618,4.71867216569187
-57.2467161141934,-302.770438049055,4.78150401876367
-57.6375175991715,-304.133148632435,4.84433587183546
-58.0258191338913,-305.472529355428,4.90716772490726
-58.4115942262856,-306.789008566514,4.96999957797905
-58.7948193229682,-308.083028437259,5.03283143105085
-59.1754738279739,-309.355042249667,5.09566328412264
-59.553540090068,-310.605511893848,5.15849513719444
-59.9290033635847,-311.834905573295,5.22132699026624
-60.3018517472819,-313.043695712668,5.28415884333803
-60.6720761052453,-314.232357061105,5.34699069640983
-61.0396699734333,-315.401364982686,5.40982254948162
-61.4046294550351,-316.551193924588,5.47265440255342
-61.7669531074259,-317.682316052805,5.53548625562522
-62.1266418231366,-318.795200044866,5.59831810869701
-62.4836987069244,-319.890310028819,5.66114996176881
-62.8381289507275,-320.968104657731,5.7239818148406
-63.189939708011,-322.029036309149,5.7868136679124
-63.5391399687688,-323.073550399232,5.8496455209842
-63.8857404362246,-324.10208480166,5.91247737405599
-64.2297534060855,-325.115069361847,5.97530922712779
-64.57119264903,-326.112925497528,6.03814108019958
-64.9100732969648,-327.096065877252,6.10097293327138
-65.2464117334593,-328.064894168921,6.16380478634317
-65.5802254886535,-329.019804850997,6.22663663941497
-65.9115331388437,-329.961183079593,6.28946849248677
-66.2403542108699,-330.889404605151,6.35230034555856
-66.5667090913623,-331.804835732953,6.41513219863036
-66.890618940848,-332.707833322158,6.47796405170215
-67.212105612676,-333.598744818582,6.54079590477395
-67.5311915766763,-334.477908316807,6.60362775784574
-67.8478998474462,-335.345652647671,6.66645961091754
-68.1622539171264,-336.202297487542,6.72929146398934
-68.4742776925183,-337.04815348615,6.79212331706113
-68.7839954363741,-337.883522410072,6.85495517013293
-69.0914317126898,-338.708697299265,6.91778702320472
