mag,phs,freq
-0.000216333856511711,-0.24220666472395,0.00628318530717959
-0.0250900429707102,-2.63009928668467,0.0691150383789754
-0.082328879439624,-4.87101813155699,0.131946891450771
-0.154379618125893,-6.91187583265724,0.194778744522567
-0.226284101492244,-8.77417827003755,0.257610597594363
-0.289990949723499,-10.5103400373395,0.320442450666159
-0.343021455360259,-12.1707545105369,0.383274303737955
-0.385844549509484,-13.7923426544675,0.446106156809751
-0.420029116100746,-15.3989122700491,0.508938009881546
-0.447323232260285,-17.0048219697674,0.571769862953342
-0.469298287908833,-18.6184140968368,0.634601716025138
-0.487259034196546,-20.2444248330591,0.697433569096934
-0.502257525328102,-21.8854965699061,0.76026542216873
-0.515138010680309,-23.5430779976776,0.823097275240526
-0.526584165874662,-25.2179449615961,0.885929128312322
-0.537159375546395,-26.9104962963513,0.948760981384117
-0.54733837855257,-28.6209187071057,1.01159283445591
-0.557531182788284,-30.3492760814104,1.07442468752771
-0.568100780132518,-32.0955553692278,1.1372565405995
-0.579376116249351,-33.8596876021788,1.2000883936713
-0.591661499808591,-35.6415547985406,1.2629202467431
-0.605243355119534,-37.4409890009895,1.32575209981489
-0.620394987387632,-39.2577671039098,1.38858395288669
-0.637379849402228,-41.0916036324586,1.45141580595848
-0.65645366553693,-42.942142771273,1.51424765903028
-0.677865673262652,-44.8089504404261,1.57707951210208
-0.701859174529978,-46.6915069266311,1.63991136517387
-0.728671541852381,-48.589200409752,1.70274321824567
-0.758533791042002,-50.5013216262322,1.76557507131746
-0.791669810144063,-52.4270598512169,1.82840692438926
-0.82829531913788,-54.3655003414806,1.89123877746106
-0.868616625186223,-56.3156233507361,1.95407063053285
-0.912829231960736,-58.2763048009447,2.01690248360465
-0.961116357592442,-60.2463186641644,2.07973433667644
-1.01364741313149,-62.2243410774078,2.14256618974824
-1.07057649129998,-64.2089561773642,2.20539804282003
-1.13204091321107,-66.1986636030528,2.26822989589183
-1.19815987817176,-68.1918875735498,2.33106174896363
-1.26903325838379,-70.1869874064309,2.39389360203542
-1.34474057612151,-72.1822693023498,2.45672545510722
-1.42534019573253,-74.1759991842421,2.51955730817901
