H,Vy*_max,M_min_dop,M_max_dop,M_min,M_max,M_1,M_2,V_3,V_4,M_4,q_ch_min,q_km_min
0,17.788970308154,0.239519994646302,0.611908582647174,0.239519994646302,0.611908582647174,0.299999993294467,0.379999991506324,98.6852435463383,125.908756909137,0.369999945163545,6536.15887162589,16.3015837930574
2,16.5606394118984,0.270409993955856,0.674935166659833,0.270409993955856,0.670779985006874,0.339999992400395,0.419999990612253,109.735379971982,133.012571273378,0.39999976754168,6286.48467382828,14.438237539584
4,13.5778410181453,0.307069993136439,0.748364196577494,0.307069993136439,0.698919984377895,0.379999991506324,0.459999989718182,120.097861186455,149.310862683581,0.460000142455292,6193.81366822193,12.9895614773978
6,11.2327270451777,0.351689992139103,0.8,0.351689992139103,0.726249983767021,0.439999990165217,0.499999988824111,129.74515219579,161.39029401611,0.509999737143492,6076.86107517776,11.5769936785439
8,8.09837899244491,0.406389990916461,0.8,0.406389990916461,0.743659983377876,0.499999988824111,0.53999998793004,144.809398865352,175.619889725557,0.569999754429202,5951.95132122804,10.4942992842236
10,4.32813764569098,0.475359989374859,0.8,0.475359989374859,0.7385899834912,0.53999998793004,0.589999986812451,155.756430843008,182.714254557633,0.609999805689226,5902.7129337607,9.66949082969305
11.5580141544342,0.50000295166805,0.544499987829457,0.8,0.544499987829457,0.663819985162442,0.589999986812451,0.599999986588933,171.14030131076,191.795146158387,0.649999916553525,6374.66030760915,9.75909418173391
