,Vy*_max,M_min_dop,M_max_dop,M_min,M_max,M_1,M_2,V_3,V_4,M_4,q_ch_min,q_km_min
0.0,27.98622136888552,0.2523799999999901,0.6119075322993037,0.2523799999999901,0.6119075322993037,0.34999999999998616,0.48999999999998045,115.69859999994843,149.72759999992388,0.4399999999997763,8110.2396340438,17.357080694769213
2.0,25.586351825504686,0.2848599999999888,0.674934008126132,0.2848599999999888,0.674934008126132,0.3899999999999845,0.5199999999999793,126.36140000000454,169.59030000000712,0.5100000000000214,7812.447972520688,15.043750984694178
4.0,22.327269493119314,0.32381999999998723,0.7483629120020485,0.32381999999998723,0.7483629120020485,0.4399999999999825,0.5599999999999776,139.57370000007518,243.44250000017541,0.7300000000005405,7478.808796985762,12.672375904157956
6.0,19.21962919073611,0.3710499999999853,0.8,0.3710499999999853,0.8,0.49999999999998,0.6299999999999748,151.89599999992265,240.50199999983602,0.7599999999994819,7077.939080368125,10.973766565979354
8.0,16.558734330065658,0.42909999999998294,0.8,0.42909999999998294,0.8,0.5599999999999776,0.7199999999999711,160.2172000000652,234.16360000013321,0.7600000000004323,6716.990531839761,9.766178647803741
10.0,10.222525832921475,0.5029799999999799,0.8,0.5029799999999799,0.8,0.6099999999999756,0.7399999999999702,167.73679999991884,230.6380999998123,0.7699999999993734,6052.282529287217,8.383102177599879
12.0,2.2129382580877395,0.6022099999999759,0.8,0.6022099999999759,0.8,0.6899999999999723,0.7499999999999698,200.64760000012365,221.30250000021982,0.750000000000745,6159.861422483197,8.134810013061923
12.40087890625,0.5014318750812731,0.625179999999975,0.8,0.6642599999999733,0.7906899999999683,0.6999999999999719,0.7399999999999702,203.59830000001375,221.3025000000962,0.750000000000326,6712.412782833471,8.73473367323783
